User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
root,ASIAS775XQLI7IR4TQJR,2021-01-25T04:24:51Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,64.189.47.148,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",e6a22c1a-8cfc-4bf5-985c-f13a020ef500,d0be7c32-0321-4e45-90ad-79f271168f56,false,AwsApiCall,206153679569,Management
root,ASIAS775XQLI7IR4TQJR,2021-01-25T04:24:50Z,iam.amazonaws.com,CreateUser,us-east-1,64.189.47.148,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::206153679569:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAS775XQLI2VFMR6WIE""}]",375ebb49-699e-4be8-934a-bd01f06cb527,242e9fa2-050e-4e42-a8b7-5f1cf659916c,false,AwsApiCall,206153679569,Management
root,ASIAS775XQLI7IR4TQJR,2021-01-25T04:22:28Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,64.189.47.148,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",f49e1ca3-ea7c-4c0e-9745-e1bc48611b42,bd025c0f-84ad-4a70-9810-9196e1d7c70d,false,AwsApiCall,206153679569,Management
root,ASIAS775XQLI7IR4TQJR,2021-01-25T04:22:27Z,iam.amazonaws.com,AddUserToGroup,us-east-1,64.189.47.148,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",baf54759-460c-41b8-ae9a-65975838495f,413c77f3-8268-4862-a6b7-690337d7b2fe,false,AwsApiCall,206153679569,Management
root,ASIAS775XQLI7IR4TQJR,2021-01-25T04:22:27Z,iam.amazonaws.com,CreateUser,us-east-1,64.189.47.148,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAS775XQLI5EF757JJP""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::206153679569:user/CloudTrail""}]",0a3fd242-61ea-459c-a250-d096e1038883,c7dbfe08-509a-426e-ba72-f0d301549388,false,AwsApiCall,206153679569,Management
root,ASIAS775XQLI7IR4TQJR,2021-01-25T04:20:45Z,iam.amazonaws.com,CreateGroup,us-east-1,64.189.47.148,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAS775XQLIQT5PYTL35""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::206153679569:group/Reviewers""}]",36faa850-b01b-4dfd-82c5-2e5e28a4e9ba,09d4195a-342e-4fa4-a178-7141206002e8,false,AwsApiCall,206153679569,Management
root,ASIAS775XQLI7IR4TQJR,2021-01-25T04:20:45Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,64.189.47.148,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",a400e8e1-138e-4999-be7f-fecc49b663ec,7da610e6-cba2-465a-a71b-eb70fa7d88f9,false,AwsApiCall,206153679569,Management
root,ASIAS775XQLI7IR4TQJR,2021-01-25T04:20:28Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,64.189.47.148,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",42a30876-277a-49fe-9096-e1b59ae72c30,2b8e41ab-749d-401d-b908-6f4204d85e81,false,AwsApiCall,206153679569,Management
root,ASIAS775XQLI7IR4TQJR,2021-01-25T04:20:28Z,iam.amazonaws.com,CreateGroup,us-east-1,64.189.47.148,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::206153679569:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAS775XQLIZUMNWSDDN""}]",229cafb6-08f1-4d94-87dc-be06202bb04e,44fa0331-1356-46bb-a7b5-c2c9fb9c4ca2,false,AwsApiCall,206153679569,Management
root,ASIAS775XQLI7IR4TQJR,2021-01-25T04:20:28Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,64.189.47.148,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",d4c467b0-2439-4b3a-9927-87a75dc26431,e91e900b-9c34-4e5b-ab15-7725dc5525a7,false,AwsApiCall,206153679569,Management
root,ASIAS775XQLI7IR4TQJR,2021-01-25T04:18:43Z,iam.amazonaws.com,UpdateAccountPasswordPolicy,us-east-1,64.189.47.148,console.amazonaws.com,,[],791e9aa8-816c-4247-ba4a-d81c783d8b4f,8c4a2b6d-344b-4ab5-8f54-1ba4a3c31cf6,false,AwsApiCall,206153679569,Management
root,,2021-01-25T04:17:51Z,signin.amazonaws.com,ConsoleLogin,us-east-1,64.189.47.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",,[],,f17d3986-76f0-44bd-9064-962145dca83d,false,AwsConsoleSignIn,206153679569,Management
